"Story","Title","Result","Date","Stability","Duration (s)"
"User crud test","This will create new user","SUCCESS","2023-01-03T22:46:47.738Z[Europe/London]","0.0","4.88"
"User crud test","This test will Update the user information","SUCCESS","2023-01-03T22:46:52.642Z[Europe/London]","0.0","1.9"
"User crud test","Delete the student and verify if the user is deleted!","SUCCESS","2023-01-03T22:46:54.547Z[Europe/London]","0.0","1.27"
